Date,time 9:00,time 10:00,time 11:00,time 12:00,time 13:00,time 14:00,time 15:00,time 16:00,time 17:00
11/13/2023,available,not available,not available,available,not available,available,available,not available,available
11/14/2023,available,available,not available,available,available,available,available,available,available
11/15/2023,not available,available,available,not available,not available,not available,available,available,not available
11/16/2023,not available,not available,available,not available,not available,available,available,available,not available
11/17/2023,available,not available,available,available,available,not available,not available,not available,available
11/18/2023,available,available,available,available,not available,available,available,available,available
11/19/2023,available,not available,not available,available,not available,not available,available,not available,available
11/20/2023,not available,available,available,not available,available,available,available,available,not available
11/21/2023,available,not available,available,available,available,not available,available,available,available
11/22/2023,not available,available,not available,not available,not available,available,not available,available,available
11/23/2023,available,not available,not available,available,not available,not available,not available,available,available
11/24/2023,available,not available,not available,available,available,available,not available,not available,available
11/25/2023,available,available,available,available,not available,not available,not available,not available,not available
11/26/2023,not available,not available,available,not available,available,not available,not available,not available,available
11/27/2023,available,available,not available,available,not available,available,not available,not available,not available
11/28/2023,available,not available,available,available,available,available,not available,not available,available
11/29/2023,available,not available,not available,available,not available,available,available,not available,available
11/30/2023,available,available,not available,available,available,available,available,available,available
11/31/2023,not available,available,available,not available,not available,not available,available,available,not available
